area,inmueble,latitud,longitud,url,valor_publicado,fecha_registro,comprado,valor_compra,financiado,renta,fecha_compra,cuota
1000,Lote En Rionegro Con Excelente Vista,6.1976643,-75.3671379,https://lote-casalote.mercadolibre.com.co/MCO-1272256367-lote-en-rionegro-con-excelente-vista-_JM#position=42&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,170000000,12/04/2023,False,0,0,0,01/01/2000,0
35245,Finca En Venta Vereda Chiquinquirá En El Peñol,6.1886867,-75.2083794,https://inmueble.mercadolibre.com.co/MCO-1229790457-finca-en-venta-vereda-chiquinquira-en-el-penol-_JM#position=12&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,1480000000,12/04/2023,False,0,0,0,01/01/2000,0
2300,En Venta Lote,6.1490188,-75.3789523,https://lote-casalote.mercadolibre.com.co/MCO-1271927927-en-venta-lote-_JM#position=44&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,430000000,12/04/2023,False,0,0,0,01/01/2000,0
3300,Finca En El Peñol Vereda El Morro,6.2199662,-75.2435307,https://inmueble.mercadolibre.com.co/MCO-984217798-finca-en-el-penol-vereda-el-morro-_JM#position=3&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,650000000,12/04/2023,False,0,0,0,01/01/2000,0
2300,"Venta Y Arriendo Finca, Santa Ana, El Peñol, Antioquia, Colombia",6.2505296,-75.2245725,https://inmueble.mercadolibre.com.co/MCO-916920097-venta-y-arriendo-finca-santa-ana-el-penol-antioquia-colombia-_JM#position=8&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,1300000000,12/04/2023,False,0,0,0,01/01/2000,0
879,Bodega En Venta En Rionegro,6.14896,-75.37214,https://inmueble.mercadolibre.com.co/MCO-1295219868-bodega-en-venta-en-rionegro-_JM#position=46&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,3265276500,12/04/2023,False,0,0,0,01/01/2000,0
6000,Finca En El Peñol 6 Mil Metros Acceso Embalse 880 Millones,6.2199662,-75.2435307,https://inmueble.mercadolibre.com.co/MCO-899648777-finca-en-el-penol-6-mil-metros-acceso-embalse-880-millones-_JM#position=5&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,880000000,12/04/2023,False,0,0,0,01/01/2000,0
10000.0,Lote Parcelación Llanogrande,6.1524258,-75.3952153,https://lote-casalote.mercadolibre.com.co/MCO-1274612817-lote-parcelacion-llanogrande-_JM#position=47&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,1050000000,12/04/2023,False,0,0,0,01/01/2000,0
18094,Lotes En Venta Vereda La Culebra 815-2873,6.26448,-75.2709,https://lote-casalote.mercadolibre.com.co/MCO-898673569-lotes-en-venta-vereda-la-culebra-815-2873-_JM#position=2&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,119937932,12/04/2023,False,0,0,0,01/01/2000,0
1963,Venta De Lote En Parcelacion,6.1490188,-75.3789523,https://lote-casalote.mercadolibre.com.co/MCO-1271036315-venta-de-lote-en-parcelacion-_JM#position=40&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,420000000,12/04/2023,False,0,0,0,01/01/2000,0
